@Caption,問６　個人のＩＣＴスキル,,,,,,,,,,,,
@Creator,総務省「令和元年通信利用動向調査」,,,,,,,,,,,,
@Date,令和元年9月末,,,,,,,,,,,,
@Language,ja,,,,,,,,,,,,
@@Title,,,,,,,,,,,,,
,,集計人数,比重調整後集計人数,ファイルのコピーや、文字や図表のコピー・貼り付け,写真や文書などを添付して電子メールを送付,エクセルなどの表計算ソフトを使用した簡単な計算（足し算や引き算など）,パワーポイントなどのプレゼンテーションソフトを使用した資料の作成,パソコンにプリンタやカメラなどの機器を接続,インターネットを利用したソフトウェアのダウンロードやインストール,パソコンと他の機器（スマートフォンなど）との間でのデータのやり取り,プログラミング言語を使用してコンピュータプログラムを作成,上記のいずれもできない,無回答
@@Unit,,,,,,,,,,,,,
,,人,人,％,％,％,％,％,％,％,％,％,％
@@Baseval,,,,,,,,,,,,,
,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
@@Datatype,,,,,,,,,,,,,
xsd:string,,xsd:string,xsd:integer,xsd:integer,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double
@Note,（対象：全員）,,,,,,,,,,,,
全体,[ 全　体 ],39658,39658,51.1,56.3,42,27.5,41.5,44.2,34.8,4.8,15.4,21.5
本人が世帯主/非世帯主,世帯主,15410,15640,60.5,63.9,54,37.8,55,53.8,44.9,7.1,14.5,15.4
本人が世帯主/非世帯主,非世帯主,24248,24018,44.9,51.4,34.2,20.7,32.8,38,28.2,3.3,15.9,25.6
本人の性別・年齢,男女計：,39658,39658,51.1,56.3,42,27.5,41.5,44.2,34.8,4.8,15.4,21.5
本人の性別・年齢,６～１２歳,2145,2430,5.5,6.1,1.1,2.1,2.4,7.5,2.4,1.3,46.3,38.6
本人の性別・年齢,１３～１９歳,2291,2613,56.6,61.6,33.6,23.1,31.2,47.3,29.1,3.8,9.4,12.8
本人の性別・年齢,(１５歳以上),36896,36524,54.4,59.9,45.2,29.5,44.6,46.9,37.3,5.1,13.3,20.5
本人の性別・年齢,(１５～１９歳),1674,1909,64.5,68.8,39.2,27.2,36.3,52.5,34.7,4.4,6.3,10.7
本人の性別・年齢,２０～２９歳,3028,4155,81.4,84,67.6,58.6,65.7,72.3,65.9,10.3,2.8,8.2
本人の性別・年齢,３０～３９歳,4067,4707,79.5,83.6,65.9,49.3,68.1,70.9,61.1,9,3.7,7.9
本人の性別・年齢,４０～４９歳,5440,6093,73.7,80.1,62.7,39.6,62.4,66.5,53.7,7.5,5.5,9.1
本人の性別・年齢,５０～５９歳,5672,5355,67.5,76.4,56.6,34.2,54,59.3,44.3,5.2,8.5,9.1
本人の性別・年齢,６０～６９歳,7192,5346,40,49.8,35.3,17.4,33.6,31.8,22.3,2.7,20.4,21.4
本人の性別・年齢,　６０～６４歳,3322,2478,47.5,59.3,41.9,21.8,39,39.2,28.2,3.1,17.1,16.2
本人の性別・年齢,　６５～６９歳,3870,2867,33.6,41.6,29.7,13.6,29,25.5,17.1,2.3,23.4,25.9
本人の性別・年齢,７０～７９歳,6299,5249,19.9,23.6,17.5,5.1,18.4,13.2,8.4,0.8,25.8,43.1
本人の性別・年齢,　７０～７４歳,3733,2862,23.7,28.7,21.5,7,22.3,16.7,10.7,0.7,23.5,40.4
本人の性別・年齢,　７５～７９歳,2566,2387,15.4,17.4,12.8,2.8,13.8,9.1,5.7,0.9,28.6,46.3
本人の性別・年齢,６５歳以上,13693,11827,18.9,22.9,16.5,6,17,13.3,8.6,1,27.3,43.3
本人の性別・年齢,７５歳以上,6090,6098,9.7,11.4,7.9,1.9,8.8,6,3.5,0.4,31,52.8
本人の性別・年齢,８０歳以上,3524,3711,6,7.5,4.8,1.3,5.7,4,2.1,0.1,32.5,56.9
本人の性別・年齢,男性：,19097,19098,58.2,61.1,50.8,35.5,52.3,53,43.2,8,13.4,17.8
本人の性別・年齢,６～１２歳,1150,1236,5.8,5.7,1.5,1.6,2.6,8,2.9,1.9,45.8,39.4
本人の性別・年齢,１３～１９歳,1219,1331,54.7,59.1,33.7,23.2,31.5,48.2,28.8,5.9,10.6,13.3
本人の性別・年齢,(１５歳以上),17611,17488,62.5,65.5,54.9,38.4,56.6,56.7,46.8,8.5,11,16.2
本人の性別・年齢,(１５～１９歳),883,958,63.2,67.2,39.1,28.1,36.3,55.6,36.1,7.1,7.2,11.3
本人の性別・年齢,２０～２９歳,1469,2127,80.9,83.4,68.4,58.5,68.8,73.7,68,15.2,3.4,7.9
本人の性別・年齢,３０～３９歳,1939,2375,79,82.8,69,55.4,72.5,75.8,66.8,13.1,3.6,8.3
本人の性別・年齢,４０～４９歳,2685,3059,78.7,81.8,69.9,51.2,72.8,74.9,64,11.9,4.4,9
本人の性別・年齢,５０～５９歳,2653,2662,76.2,79.9,69.1,48.7,70.6,70.6,58.4,9.2,6.2,8.3
本人の性別・年齢,６０～６９歳,3430,2590,53.5,56.6,50.9,28.8,50.2,45.3,33.7,5.2,17.8,15.4
本人の性別・年齢,　６０～６４歳,1580,1213,58.5,65.4,57.1,34.6,55.2,52.3,39.5,5.7,15.2,11.4
本人の性別・年齢,　６５～６９歳,1850,1377,49,48.8,45.5,23.7,45.7,39.2,28.6,4.7,20.1,18.8
本人の性別・年齢,７０～７９歳,3155,2393,30.7,32.5,29.1,9.9,32.6,23.4,15.1,1.5,22.7,33.7
本人の性別・年齢,　７０～７４歳,1900,1337,35.2,38.3,34.4,13.4,37.4,28.2,18.1,1.5,21.5,29.5
本人の性別・年齢,　７５～７９歳,1255,1055,25,25.2,22.5,5.5,26.7,17.4,11.4,1.4,24.3,39
本人の性別・年齢,６５歳以上,6402,5094,31,32.3,28.7,11.9,31.1,23.8,15.9,2.1,23.7,33.9
本人の性別・年齢,７５歳以上,2652,2379,18.1,19.3,15.7,4.3,19,12.4,7.4,0.9,27.1,45.1
本人の性別・年齢,８０歳以上,1397,1324,12.7,14.6,10.4,3.3,12.9,8.4,4.2,0.4,29.3,50
本人の性別・年齢,女性：,20561,20560,44.4,51.9,33.9,20,31.5,36,26.9,1.9,17.3,25.1
本人の性別・年齢,６～１２歳,995,1193,5.1,6.4,0.7,2.7,2.1,7,1.9,0.7,46.8,37.8
本人の性別・年齢,１３～１９歳,1072,1282,58.6,64.1,33.5,23,30.9,46.3,29.3,1.6,8.1,12.4
本人の性別・年齢,(１５歳以上),19285,19035,47,54.9,36.2,21.2,33.6,37.8,28.6,2,15.4,24.4
本人の性別・年齢,(１５～１９歳),791,951,65.8,70.4,39.2,26.3,36.3,49.4,33.3,1.7,5.3,10
本人の性別・年齢,２０～２９歳,1559,2028,81.9,84.8,66.8,58.6,62.5,70.8,63.7,5.1,2.2,8.5
本人の性別・年齢,３０～３９歳,2128,2332,80,84.4,62.7,43.1,63.6,65.9,55.3,4.8,3.7,7.4
本人の性別・年齢,４０～４９歳,2755,3034,68.7,78.5,55.5,27.9,51.8,58.2,43.4,3,6.5,9.3
本人の性別・年齢,５０～５９歳,3019,2693,59,73,44.2,19.7,37.5,48,30.2,1.3,10.7,10
本人の性別・年齢,６０～６９歳,3762,2755,27.4,43.4,20.7,6.7,18,19.1,11.5,0.4,22.9,27.1
本人の性別・年齢,　６０～６４歳,1742,1265,37,53.4,27.3,9.6,23.4,26.6,17.4,0.7,18.8,20.7
本人の性別・年齢,　６５～６９歳,2020,1490,19.3,35,15,4.3,13.5,12.7,6.5,0.2,26.4,32.5
本人の性別・年齢,７０～７９歳,3144,2856,10.9,16.1,7.8,1,6.5,4.7,2.8,0.2,28.5,50.9
本人の性別・年齢,　７０～７４歳,1833,1524,13.6,20.3,10.2,1.4,9.1,6.6,4.3,- ,25.4,49.9
本人の性別・年齢,　７５～７９歳,1311,1332,7.9,11.3,5.2,0.6,3.6,2.5,1.2,0.4,32.1,52.1
本人の性別・年齢,６５歳以上,7291,6733,9.7,15.8,7.2,1.5,6.3,5.4,3,0.1,30.1,50.3
本人の性別・年齢,７５歳以上,3438,3718,4.2,6.4,2.9,0.3,2.3,1.9,1,0.1,33.5,57.7
本人の性別・年齢,８０歳以上,2127,2387,2.2,3.6,1.7,0.2,1.6,1.5,0.9,- ,34.3,60.7
世帯人数,単身,2632,3474,56.1,59.6,49.8,38.7,48.3,50.1,43.7,8.1,18.6,18.2
世帯人数,２人家族,10941,10824,43.7,50,36.3,20.6,36.7,35.6,27.8,3.8,16.8,26.8
世帯人数,３人家族,9426,9580,56.2,62.2,46.6,29.8,45.7,49.2,37.6,5.3,13.5,18.2
世帯人数,４人家族,10070,10511,57.6,62.8,47.1,32.3,46.2,51.9,41.1,4.8,15.2,13.8
世帯人数,５人家族,3599,3147,46.3,50.3,34.6,24.4,34.2,39.1,30,4.1,13.6,27.6
世帯人数,６人家族,1827,1361,34,35.7,23.8,15.4,24.8,26.6,19.6,2.7,15.3,41.2
世帯人数,７人以上家族,1163,761,28.6,30.9,22.8,12.4,22.5,23.4,16.5,2.7,14,50.3
